id,despertar,fecha,hora,lat,lon,estado,bateria_v,bateria_pct,device,created_at
98,4,05/06/2026,10:02:32,4.823144333,-74.345829,NUEVA UBICACION,0,0,HERMES-01,2026-06-05T15:02:56.444167
99,5,05/06/2026,10:08:23,4.823134167,-74.34582733,NUEVA UBICACION,0,0,HERMES-01,2026-06-05T15:08:45.985623
100,6,05/06/2026,10:15:43,4.823145167,-74.345864,NUEVA UBICACION,0,0,HERMES-01,2026-06-05T15:16:06.035890
98,17,05/06/2026,11:25:46,4.823178333,-74.34587233,NUEVA UBICACION,0,0,HERMES-01,2026-06-05T16:25:53.179680
99,18,,No disponible,4.823222667,-74.34589367,NUEVA UBICACION,0,0,HERMES-01,2026-06-05T16:31:09.642966
100,19,05/06/2026,11:36:20,4.823192333,-74.34592417,NUEVA UBICACION,0,0,HERMES-01,2026-06-05T16:36:26.836152
5,44,05/06/2026,14:05:50,4.823172333,-74.34587517,NUEVA UBICACION,0,0,HERMES-01,2026-06-05T19:05:56.632612
6,45,05/06/2026,14:11:06,4.823231667,-74.34586867,NUEVA UBICACION,0,0,HERMES-01,2026-06-05T19:11:15.568181
7,46,,No disponible,4.823217333,-74.3458645,NUEVA UBICACION,0,0,HERMES-01,2026-06-05T19:16:33.839954
8,3,05/06/2026,14:22:11,4.823107,-74.345837,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-05T19:41:12.544967
9,3,05/06/2026,14:29:23,4.823088,-74.345852,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-05T19:41:17.228389
10,3,05/06/2026,14:35:29,4.823143,-74.345841,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-05T19:41:21.755912
28,102,10/06/2026,20:35:42,2.560996,-72.648068,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:05:43.014755
29,102,10/06/2026,20:51:39,2.560833,-72.648187,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:05:47.734390
30,102,,No disponible,2.560833,-72.648181,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:05:52.455921
31,102,10/06/2026,21:23:45,2.560814,-72.6484,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:05:57.132685
32,102,10/06/2026,21:39:41,2.560769,-72.648456,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:01.778402
33,102,10/06/2026,21:55:54,2.56089,-72.647919,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:06.478675
34,102,10/06/2026,22:11:50,2.560838,-72.64823,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:11.203576
35,102,10/06/2026,22:27:47,2.560792,-72.648355,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:15.959292
36,102,10/06/2026,22:43:43,2.560948,-72.648306,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:20.850196
37,102,10/06/2026,22:59:40,2.560864,-72.648091,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:25.705393
38,102,10/06/2026,23:15:36,2.560824,-72.648149,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:32.815170
39,102,10/06/2026,23:31:32,2.560774,-72.648214,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:37.712038
40,102,10/06/2026,23:47:27,2.560836,-72.648214,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:42.482830
41,102,10/06/2026,00:03:39,2.56088,-72.648217,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:47.129426
42,102,10/06/2026,00:19:35,2.560857,-72.648155,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:51.767700
43,102,10/06/2026,00:35:36,2.560823,-72.648041,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:06:56.442425
44,102,10/06/2026,00:51:32,2.560858,-72.648149,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:01.042636
45,102,10/06/2026,01:07:28,2.560891,-72.648195,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:05.636332
46,102,10/06/2026,01:23:24,2.560871,-72.648195,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:10.249226
47,102,10/06/2026,01:39:21,2.560887,-72.648183,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:14.798698
48,102,10/06/2026,01:55:17,2.560887,-72.64831,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:19.430576
49,102,10/06/2026,02:11:12,2.560842,-72.648089,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:24.056033
50,102,10/06/2026,02:27:08,2.560845,-72.6482,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:28.772144
51,102,10/06/2026,02:43:06,2.561028,-72.648391,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:33.538847
52,102,10/06/2026,02:59:02,2.560916,-72.648178,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:38.301410
53,102,10/06/2026,03:15:59,2.560842,-72.648257,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:42.920268
54,102,10/06/2026,03:31:54,2.560827,-72.648187,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:47.774778
55,102,10/06/2026,03:47:51,2.560794,-72.648121,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:52.547573
56,102,10/06/2026,04:39:39,2.560885,-72.648156,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:07:57.180672
57,102,10/06/2026,04:55:35,2.560907,-72.648204,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:08:01.824796
58,102,,No disponible,2.560852,-72.648195,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:08:06.409886
59,102,10/06/2026,05:27:37,2.560674,-72.647949,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:08:11.036259
60,102,10/06/2026,05:44:49,2.561007,-72.64803,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:08:15.754626
61,102,10/06/2026,06:00:45,2.560751,-72.648312,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:08:20.449951
62,102,10/06/2026,06:16:41,2.560836,-72.648161,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:08:25.182071
63,102,10/06/2026,06:32:37,2.560858,-72.648145,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:08:30.118012
64,102,,No disponible,2.560835,-72.648213,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:08:42.861871
65,102,10/06/2026,07:04:29,2.560822,-72.648299,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:08:47.521844
66,102,10/06/2026,07:20:25,2.560814,-72.648255,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:08:52.093062
67,102,10/06/2026,07:36:22,2.56084,-72.648231,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:08:56.923213
68,102,10/06/2026,07:52:18,2.560792,-72.648307,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:09:01.682822
69,102,10/06/2026,08:08:26,2.560832,-72.648166,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:09:06.365651
70,102,10/06/2026,08:24:22,2.560904,-72.648244,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:09:11.027843
71,102,10/06/2026,08:40:18,2.5609,-72.648246,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:09:15.682455
72,102,10/06/2026,08:56:14,2.560831,-72.648159,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:09:20.390715
73,102,10/06/2026,09:12:11,2.560888,-72.647924,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:09:27.165496
74,102,10/06/2026,09:28:13,2.560905,-72.648185,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:09:31.713565
75,102,10/06/2026,09:44:08,2.560853,-72.648236,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:09:36.301433
76,102,10/06/2026,10:00:07,2.560851,-72.64818,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:09:40.882351
77,102,10/06/2026,10:16:03,2.560878,-72.648195,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:09:45.459114
78,102,10/06/2026,10:31:59,2.560875,-72.648152,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:09:59.920427
79,102,10/06/2026,10:47:55,2.560873,-72.648115,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:04.637538
80,102,10/06/2026,11:03:51,2.560833,-72.64817,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:09.359028
81,102,10/06/2026,11:19:47,2.560856,-72.648228,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:14.058873
82,102,10/06/2026,11:35:45,2.560765,-72.64822,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:18.807967
83,102,10/06/2026,11:51:42,2.560852,-72.648218,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:24.557361
84,102,10/06/2026,12:07:39,2.560862,-72.64818,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:29.286532
85,102,10/06/2026,12:23:35,2.5609,-72.648204,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:33.995225
86,102,10/06/2026,12:39:32,2.560891,-72.648235,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:38.595490
87,102,10/06/2026,12:55:29,2.560877,-72.64823,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:43.309692
88,102,10/06/2026,13:11:26,2.560884,-72.648221,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:48.020986
89,102,10/06/2026,13:27:24,2.560868,-72.648196,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:52.677214
90,102,10/06/2026,13:43:20,2.560863,-72.648189,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:10:57.336750
91,102,10/06/2026,13:59:17,2.560875,-72.648201,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:02.041222
92,102,10/06/2026,14:15:16,2.560834,-72.648175,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:06.706741
93,102,10/06/2026,14:31:13,2.560906,-72.648216,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:11.316725
94,102,,No disponible,2.560876,-72.648201,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:15.982395
95,102,10/06/2026,15:03:05,2.560935,-72.64817,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:20.628554
96,102,10/06/2026,15:19:02,2.560892,-72.648183,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:25.358610
97,102,10/06/2026,15:34:58,2.560958,-72.648258,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:30.009657
98,102,10/06/2026,15:50:56,2.560908,-72.648189,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:34.672467
99,102,10/06/2026,16:06:53,2.560859,-72.648223,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:39.318585
100,102,10/06/2026,16:22:50,2.560857,-72.648177,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:43.926303
101,102,10/06/2026,16:38:47,2.560843,-72.648202,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:48.581926
102,102,10/06/2026,16:54:43,2.560877,-72.648192,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:53.182360
103,102,10/06/2026,17:10:40,2.560887,-72.648242,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:11:57.950822
104,102,10/06/2026,17:26:36,2.560881,-72.648189,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:12:02.585131
105,102,10/06/2026,17:42:33,2.56087,-72.648206,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:12:07.242031
106,102,10/06/2026,17:58:29,2.56097,-72.648174,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:12:11.869207
107,102,10/06/2026,18:14:29,2.560884,-72.648239,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:12:16.492708
108,102,10/06/2026,18:30:25,2.560901,-72.648201,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:12:21.077113
109,102,10/06/2026,18:46:23,2.560866,-72.648222,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:12:25.825934
110,102,11/06/2026,19:02:19,2.560854,-72.648222,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:12:30.585834
111,102,11/06/2026,19:18:15,2.560932,-72.648197,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:12:35.235235
112,102,11/06/2026,19:34:11,2.560863,-72.648192,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:12:39.965634
113,102,11/06/2026,19:50:07,2.56089,-72.648202,REENVIO PENDIENTE,0,0,HERMES-01,2026-06-11T01:12:44.663403
114,102,11/06/2026,20:12:48,2.560882333,-72.648185,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T01:12:56.058714
115,103,11/06/2026,20:27:51,2.5608405,-72.64814717,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T01:28:09.483106
116,104,11/06/2026,20:33:21,2.5608405,-72.6481465,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T01:33:27.425606
117,105,11/06/2026,20:38:38,2.5609355,-72.6481755,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T01:38:45.372471
118,106,11/06/2026,20:43:57,2.560869,-72.648175,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T01:44:04.660279
119,107,11/06/2026,20:49:15,2.560885,-72.64811983,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T01:49:22.206398
120,108,11/06/2026,20:54:33,2.560830667,-72.6481675,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T01:54:41.827326
121,109,11/06/2026,20:59:53,2.560871167,-72.64816967,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:00:00.435702
122,110,11/06/2026,21:05:11,2.560860833,-72.648199,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:05:18.672980
123,111,11/06/2026,21:10:29,2.560873333,-72.64816167,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:10:36.871541
124,112,11/06/2026,21:15:48,2.560895667,-72.64815483,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:15:55.530531
125,113,11/06/2026,21:21:06,2.560886167,-72.648159,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:21:12.369767
126,114,11/06/2026,21:26:24,2.560847167,-72.64815483,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:26:30.889875
127,115,11/06/2026,21:31:41,2.560835167,-72.64815217,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:31:48.200142
128,116,11/06/2026,21:36:58,2.560897833,-72.6481695,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:37:05.059678
129,117,,No disponible,2.560875667,-72.6481665,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:42:22.186809
130,118,11/06/2026,21:47:33,2.560876,-72.6481885,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:47:39.446736
131,119,11/06/2026,21:53:02,2.560832667,-72.64815283,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:53:08.752830
132,120,11/06/2026,21:58:19,2.5608595,-72.64815083,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T02:58:27.136831
133,121,11/06/2026,22:03:38,2.560836167,-72.6481165,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T03:03:44.488951
134,122,11/06/2026,22:08:55,2.560842167,-72.64809267,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T03:09:02.362140
135,123,11/06/2026,22:14:15,2.560910333,-72.6481415,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T03:14:22.257183
136,124,11/06/2026,22:19:33,2.560920167,-72.64812533,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T03:19:40.050796
137,125,,No disponible,2.560902167,-72.648149,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T03:24:57.816771
138,126,11/06/2026,22:30:08,2.560918833,-72.648148,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T03:30:15.413386
139,127,,No disponible,2.560882,-72.64812967,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T03:35:35.539514
140,128,11/06/2026,22:40:46,2.560955167,-72.6481455,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T03:40:52.474452
141,129,11/06/2026,22:46:03,2.560801667,-72.64815883,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T03:46:09.338008
142,130,11/06/2026,22:51:20,2.560875167,-72.648182,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T03:51:27.497529
143,131,11/06/2026,22:56:38,2.5608905,-72.64813217,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T03:56:44.680656
144,132,11/06/2026,23:01:55,2.560878333,-72.64813317,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T04:02:01.471128
145,133,11/06/2026,23:07:12,2.560908,-72.6481255,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T04:07:18.788584
146,134,11/06/2026,23:12:29,2.560830667,-72.64818017,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T04:12:35.534408
147,135,11/06/2026,23:17:45,2.560808667,-72.64820217,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T04:17:52.501205
148,136,,No disponible,2.560853,-72.648079,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T04:23:12.648230
149,137,11/06/2026,23:28:34,2.560832333,-72.6481435,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T04:28:40.574594
150,138,11/06/2026,23:33:50,2.5608825,-72.6481475,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T04:33:56.806340
151,139,11/06/2026,23:39:08,2.560850667,-72.64815467,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T04:39:14.733630
152,140,,No disponible,2.560808333,-72.64811867,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T04:44:31.546248
153,141,11/06/2026,23:49:42,2.560900833,-72.64817017,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T04:49:48.815473
154,142,11/06/2026,23:54:59,2.560813333,-72.64812867,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T04:55:05.949716
155,143,11/06/2026,00:00:16,2.560874667,-72.64812117,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:00:22.791177
156,144,11/06/2026,00:05:33,2.560865167,-72.64815483,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:05:39.492046
157,145,11/06/2026,00:10:50,2.560803667,-72.6481565,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:10:56.740363
158,146,11/06/2026,00:16:21,2.560815,-72.6481275,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:16:28.078386
159,147,,No disponible,2.560826833,-72.64812967,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:21:44.872842
160,148,11/06/2026,00:26:55,2.5608515,-72.64814267,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:27:01.804961
161,149,11/06/2026,00:32:12,2.560856167,-72.64816683,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:32:19.997444
162,150,11/06/2026,00:37:30,2.560822,-72.648123,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:37:37.742852
163,151,,No disponible,2.5608925,-72.64817283,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:42:55.182630
164,152,,No disponible,2.560752667,-72.6480885,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:48:12.561382
165,153,11/06/2026,00:53:23,2.560885,-72.64822367,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:53:30.040752
166,154,11/06/2026,00:58:40,2.5608685,-72.64815417,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T05:58:47.215743
167,155,11/06/2026,01:03:58,2.560929833,-72.64812867,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T06:04:04.354343
168,156,11/06/2026,01:09:16,2.560866667,-72.64816883,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T06:09:22.431138
169,157,11/06/2026,01:14:33,2.5608825,-72.64811617,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T06:14:39.270795
170,158,11/06/2026,01:19:51,2.560880667,-72.64815217,NUEVA UBICACION,0,0,HERMES-01,2026-06-11T06:20:00.583979
